Model,YYYY/MM/DD,HH:MM:SS,UnixTime,Baseline,CO2,A0,Fig1,Fig2,e2v03,e2vNO2,e2v1,e2v2,e2v3,e2v4,Temp,Rh,BaroT,BaroP,Lat,N/S,Lon,E/W,C0,C1,C2,C3,C4,C5,C6,C7,Ba1,Ba2,Ba3,Ba4,Bb1,Bb2,Bb3,Bb4,Bc1,Bc2,Bc3,Bc4,Wind
UPODS2,2016.10.19,17:48:30,1476899310,817,143,1022,304,807,447,930,0,0,0,0, 33.50,  5.20,33.50,98723.00,3403.97554,1,11813.60637,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-80406.25,4953.12,-7234.37,2281.25,2047984.37,2047984.37,-2890.62,-2156.25,0
UPODS2,2016.10.19,17:48:46,1476899326,666,145,1022,129,469,232,847,0,0,0,0, 32.80,  6.40,33.20,98735.00,3403.97554,1,11813.60637,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-3437.50,17656.25,-921.88,8250.00,2047984.37,2047984.37,-359.38,-359.38,0
UPODS2,2016.10.19,17:49:2,1476899342,665,146,1023,91,279,168,792,0,0,0,0, 32.60,  6.70,33.10,98736.00,3403.97554,1,11813.60637,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-2187.50,17375.00,-390.63,7187.50,2047984.37,2047984.37,-31.25,-171.88,0
UPODS2,2016.10.19,17:49:18,1476899358,666,147,1022,72,200,138,750,0,0,0,0, 32.60,  6.60,33.00,98733.00,3411.94674,1,11831.95899,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1968.75,16765.63,-203.13,7140.62,142796.87,202000.00,-78.12,0.00,0
UPODS2,2016.10.19,17:49:35,1476899375,661,144,1022,57,159,118,715,0,0,0,0, 32.80,  6.80,33.10,98721.00,3411.94574,1,11831.96115,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1968.75,16062.50,-93.75,7812.50,91593.75,120531.25,46.88,62.50,0
UPODS2,2016.10.19,17:49:52,1476899392,658,144,1023,44,135,106,686,0,0,0,0, 33.00,  7.20,33.10,98723.00,3411.94412,1,11831.96324,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1843.75,14781.25,0.00,8406.25,69671.88,90703.13,62.50,109.37,0
UPODS2,2016.10.19,17:50:9,1476899409,665,145,1022,35,119,97,658,0,0,0,0, 33.20,  6.90,33.20,98714.00,3411.94477,1,11831.96290,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1796.88,15296.87,0.00,8984.37,56953.12,74421.88,62.50,93.75,0
UPODS2,2016.10.19,17:50:26,1476899426,663,144,1022,29,106,88,632,0,0,0,0, 33.20,  6.90,33.30,98723.00,3411.94563,1,11831.96348,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1921.88,15046.87,0.00,9234.37,48578.12,63859.37,46.88,78.12,0
UPODS2,2016.10.19,17:50:44,1476899444,663,146,1022,25,97,83,611,0,0,0,0, 33.20,  6.90,33.30,98708.00,3411.94561,1,11831.96371,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1921.88,14953.12,15.63,9546.87,42890.62,56359.37,62.50,93.75,0
UPODS2,2016.10.19,17:51:1,1476899461,664,146,1023,23,89,78,593,0,0,0,0, 33.20,  6.90,33.30,98714.00,3411.94603,1,11831.96392,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-2015.63,14937.50,78.12,9718.75,38328.12,50890.62,62.50,62.50,0
