Model,YYYY/MM/DD,HH:MM:SS,UnixTime,Baseline,CO2,A0,Fig1,Fig2,e2v03,e2vNO2,e2v1,e2v2,e2v3,e2v4,Temp,Rh,BaroT,BaroP,Lat,N/S,Lon,E/W,C0,C1,C2,C3,C4,C5,C6,C7,Ba1,Ba2,Ba3,Ba4,Bb1,Bb2,Bb3,Bb4,Bc1,Bc2,Bc3,Bc4,Wind
UPODS2,2016.10.25,0:0:25,1477353625,674,147,1023,38,29,64,64,0,0,0,0, 30.20, 27.00,30.30,98808.00,3411.94446,1,11831.96503,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,687.50,687.50,250.00,3625.00,1156.25,2625.00,203.13,234.38,0
UPODS2,2016.10.25,0:0:40,1477353640,672,146,1022,37,29,63,59,0,0,0,0, 30.20, 26.70,30.30,98817.00,3411.94447,1,11831.96499,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,640.63,578.13,203.13,3421.87,1406.25,2515.62,234.38,234.38,0
UPODS2,2016.10.25,0:0:56,1477353656,671,146,1022,37,28,62,56,0,0,0,0, 30.20, 26.60,30.30,98820.00,3411.94534,1,11831.96538,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,687.50,140.63,218.75,3390.62,1234.38,2437.50,203.13,203.13,0
UPODS2,2016.10.25,0:1:13,1477353673,673,148,1023,37,29,62,54,0,0,0,0, 30.20, 26.90,30.30,98805.00,3411.94522,1,11831.96664,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,671.88,109.37,187.50,3203.12,1218.75,2484.37,218.75,234.38,0
UPODS2,2016.10.25,0:1:30,1477353690,673,148,1022,36,28,61,51,0,0,0,0, 30.10, 27.10,30.20,98805.00,3411.94600,1,11831.96672,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,562.50,46.88,250.00,3093.75,1250.00,2453.12,218.75,250.00,0
UPODS2,2016.10.25,0:1:47,1477353707,673,148,1023,36,28,61,51,0,0,0,0, 30.00, 27.10,30.20,98811.00,3411.94614,1,11831.96631,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,562.50,15.63,203.13,3140.62,1218.75,2484.37,171.88,250.00,0
UPODS2,2016.10.25,0:2:4,1477353724,673,148,1022,36,28,61,52,0,0,0,0, 30.00, 27.40,30.20,98793.00,3411.94593,1,11831.96599,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,500.00,-234.38,234.38,3015.62,1218.75,2359.37,250.00,250.00,0
UPODS2,2016.10.25,0:2:20,1477353740,674,148,1022,36,29,61,55,0,0,0,0, 29.90, 27.20,30.10,98799.00,3411.94537,1,11831.96586,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,531.25,-296.88,296.88,3000.00,1265.63,2343.75,203.13,250.00,0
UPODS2,2016.10.25,0:2:37,1477353757,669,147,1023,37,29,60,56,0,0,0,0, 30.00, 27.50,30.10,98802.00,3411.94537,1,11831.96584,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,546.88,-406.25,234.38,3093.75,1281.25,2375.00,250.00,265.63,0
UPODS2,2016.10.25,0:2:54,1477353774,672,149,1023,37,29,61,57,0,0,0,0, 29.90, 27.40,30.10,98793.00,3411.94549,1,11831.96608,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,593.75,-500.00,218.75,3093.75,1250.00,2218.75,265.63,265.63,0
UPODS2,2016.10.25,0:3:11,1477353791,673,148,1023,37,29,61,60,0,0,0,0, 29.80, 27.50,30.10,98803.00,3411.94567,1,11831.96611,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,500.00,-687.50,234.38,3078.12,1203.13,2296.87,250.00,265.63,0
UPODS2,2016.10.25,0:3:28,1477353808,673,147,1023,37,29,61,60,0,0,0,0, 29.80, 27.50,30.00,98800.00,3411.94575,1,11831.96617,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,515.63,-656.25,234.38,2906.25,1125.00,2328.12,250.00,296.88,0
UPODS2,2016.10.25,0:3:45,1477353825,675,150,1022,37,29,61,61,0,0,0,0, 29.80, 27.60,30.00,98809.00,3411.94582,1,11831.96607,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,578.13,-781.25,218.75,3015.62,1171.88,2359.37,265.63,250.00,0
UPODS2,2016.10.25,0:4:2,1477353842,673,149,1023,37,29,61,65,0,0,0,0, 29.80, 27.70,30.00,98809.00,3411.94574,1,11831.96600,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,578.13,-812.50,250.00,3062.50,1187.50,2265.62,250.00,265.63,0
UPODS2,2016.10.25,0:4:19,1477353859,675,147,1022,37,29,62,65,0,0,0,0, 29.70, 27.60,30.00,98800.00,3411.94569,1,11831.96602,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,500.00,-859.38,218.75,3015.62,1218.75,2390.62,250.00,265.63,0
