Model,YYYY/MM/DD,HH:MM:SS,UnixTime,Baseline,CO2,A0,Fig1,Fig2,e2v03,e2vNO2,e2v1,e2v2,e2v3,e2v4,Temp,Rh,BaroT,BaroP,Lat,N/S,Lon,E/W,C0,C1,C2,C3,C4,C5,C6,C7,Ba1,Ba2,Ba3,Ba4,Bb1,Bb2,Bb3,Bb4,Bc1,Bc2,Bc3,Bc4,Wind
UPODS2,2016.10.26,0:0:30,1477440030,667,145,1021,32,30,39,32,0,0,0,0,-99.50,-99.50,32.70,98782.00,3411.94581,1,11831.96609,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1937.50,-3296.87,203.13,2968.75,1640.63,2406.25,218.75,250.00,0
UPODS2,2016.10.26,0:0:46,1477440046,663,146,1022,32,30,39,31,0,0,0,0, 32.50, 22.40,32.60,98776.00,3411.94609,1,11831.96602,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2046.88,-3296.87,234.38,2765.62,1625.00,2421.87,234.38,218.75,0
UPODS2,2016.10.26,0:1:2,1477440062,667,146,1022,32,30,39,34,0,0,0,0, 32.40, 22.90,32.60,98782.00,3411.94615,1,11831.96603,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2031.25,-3296.87,218.75,2859.37,1515.63,2390.62,203.13,265.63,0
UPODS2,2016.10.26,0:1:18,1477440078,667,144,1022,32,30,39,35,0,0,0,0, 32.40, 22.90,32.60,98782.00,3411.94613,1,11831.96617,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1968.75,-3343.75,250.00,3031.25,1625.00,2359.37,250.00,265.63,0
UPODS2,2016.10.26,0:1:34,1477440094,666,143,1023,32,31,39,33,0,0,0,0, 32.40, 23.00,32.60,98779.00,3411.94629,1,11831.96621,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1968.75,-3406.25,250.00,2906.25,1687.50,2375.00,218.75,281.25,0
UPODS2,2016.10.26,0:1:51,1477440111,667,146,1023,32,31,39,35,0,0,0,0, 32.50, 22.90,32.60,98782.00,3411.94639,1,11831.96628,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1984.38,-3390.62,218.75,2937.50,1796.88,2531.25,203.13,265.63,0
UPODS2,2016.10.26,0:2:8,1477440128,666,146,1023,32,30,38,32,0,0,0,0, 32.50, 22.90,32.60,98785.00,3411.94645,1,11831.96636,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1890.63,-3390.62,218.75,2750.00,1640.63,2484.37,203.13,265.63,0
UPODS2,2016.10.26,0:2:25,1477440145,666,146,1022,32,30,38,32,0,0,0,0, 32.40, 22.90,32.60,98785.00,3411.94646,1,11831.96633,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1968.75,-3375.00,265.63,2703.12,1687.50,2343.75,234.38,281.25,0
UPODS2,2016.10.26,0:2:42,1477440162,663,144,1022,32,30,38,33,0,0,0,0, 32.40, 22.80,32.60,98779.00,3411.94620,1,11831.96635,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1984.38,-3390.62,234.38,2828.12,1578.13,2390.62,265.63,234.38,0
UPODS2,2016.10.26,0:2:59,1477440179,667,147,1022,32,30,38,33,0,0,0,0, 32.50, 22.80,32.60,98788.00,3411.94540,1,11831.96686,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2046.88,-3437.50,203.13,2812.50,1640.63,2453.12,234.38,234.38,0
UPODS2,2016.10.26,0:3:16,1477440196,668,146,1023,32,30,38,35,0,0,0,0, 32.50, 22.90,32.60,98785.00,3411.94507,1,11831.96693,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2031.25,-3468.75,218.75,2781.25,1656.25,2437.50,250.00,281.25,0
UPODS2,2016.10.26,0:3:33,1477440213,667,147,1023,32,30,38,36,0,0,0,0, 32.50, 22.90,32.60,98788.00,3411.94439,1,11831.96738,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2062.50,-3359.37,171.88,2859.37,1625.00,2406.25,265.63,281.25,0
UPODS2,2016.10.26,0:3:50,1477440230,666,145,1022,32,30,38,35,0,0,0,0, 32.40, 22.90,32.50,98782.00,3411.94443,1,11831.96719,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1921.88,-3328.12,234.38,3093.75,1593.75,2500.00,203.13,218.75,0
UPODS2,2016.10.26,0:4:7,1477440247,667,143,1022,32,30,39,35,0,0,1,0, 32.40, 23.00,32.50,98779.00,3411.94437,1,11831.96705,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2000.00,-3375.00,218.75,2953.12,1578.13,2390.62,218.75,234.38,0
UPODS2,2016.10.26,0:4:24,1477440264,666,147,1023,32,30,39,36,0,0,0,0, 32.40, 23.10,32.50,98788.00,3411.94521,1,11831.96655,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2015.63,-3296.87,234.38,3078.12,1593.75,2390.62,234.38,234.38,0
UPODS2,2016.10.26,0:4:41,1477440281,667,145,1023,32,29,39,35,0,0,0,0, 32.40, 23.20,32.40,98786.00,3411.94544,1,11831.96645,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1921.88,-3296.87,265.63,2968.75,1609.38,2234.37,265.63,296.88,0
UPODS2,2016.10.26,0:4:58,1477440298,668,145,1023,32,29,39,35,0,0,0,0, 32.40, 23.00,32.50,98793.00,3411.94589,1,11831.96637,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1968.75,-3375.00,281.25,2843.75,1609.38,2375.00,203.13,250.00,0
UPODS2,2016.10.26,0:5:15,1477440315,664,145,1023,32,30,39,36,0,0,0,0, 32.30, 23.20,32.40,98791.00,3411.94575,1,11831.96631,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2015.63,-3453.12,218.75,2953.12,1703.13,2328.12,234.38,250.00,0
UPODS2,2016.10.26,0:5:32,1477440332,666,144,1022,32,30,39,39,0,0,0,0, 32.30, 23.30,32.40,98791.00,3411.94585,1,11831.96626,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1937.50,-3421.87,218.75,3250.00,1437.50,2328.12,234.38,281.25,0
UPODS2,2016.10.26,0:5:49,1477440349,667,148,1022,33,30,39,41,0,0,0,0, 32.20, 23.40,32.40,98794.00,3411.94595,1,11831.96597,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1968.75,-3468.75,203.13,3468.75,1531.25,2359.37,234.38,218.75,0
UPODS2,2016.10.26,0:6:6,1477440366,668,146,1023,33,30,40,41,0,0,0,0, 32.20, 23.40,32.40,98786.00,3411.94614,1,11831.96606,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1968.75,-3312.50,203.13,3296.87,1609.38,2500.00,218.75,250.00,0
UPODS2,2016.10.26,0:6:23,1477440383,667,147,1023,32,30,39,36,0,0,0,0, 32.20, 23.30,32.40,98797.00,3411.94619,1,11831.96614,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1859.38,-2968.75,234.38,2796.87,1546.88,2328.12,218.75,250.00,0
