Model,YYYY/MM/DD,HH:MM:SS,UnixTime,Baseline,CO2,A0,Fig1,Fig2,e2v03,e2vNO2,e2v1,e2v2,e2v3,e2v4,Temp,Rh,BaroT,BaroP,Lat,N/S,Lon,E/W,C0,C1,C2,C3,C4,C5,C6,C7,Ba1,Ba2,Ba3,Ba4,Bb1,Bb2,Bb3,Bb4,Bc1,Bc2,Bc3,Bc4,Wind
UPODS2,2016.10.22,0:0:31,1477094431,645,150,1023,18,43,19,8,0,0,1,0, 39.00,  1.80,39.10,98160.00,3411.94754,1,11831.96453,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2156.25,-1125.00,203.13,2953.12,3109.37,5546.87,203.13,218.75,0
UPODS2,2016.10.22,0:0:48,1477094448,648,151,1022,18,43,19,7,0,0,0,0, 39.00,  1.70,39.10,98169.00,3411.94724,1,11831.96475,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2265.62,-765.63,187.50,2734.37,3062.50,5500.00,218.75,203.13,0
UPODS2,2016.10.22,0:1:5,1477094465,647,150,1023,18,42,19,6,0,0,0,0, 38.90,  1.30,39.00,98155.00,3411.94639,1,11831.96470,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2203.12,-640.63,187.50,2562.50,3031.25,5546.87,156.25,218.75,0
UPODS2,2016.10.22,0:1:22,1477094482,648,148,1023,18,41,19,6,0,0,0,0, 38.80,  1.30,39.00,98163.00,3411.94560,1,11831.96453,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2203.12,-734.38,203.13,2468.75,3000.00,5500.00,156.25,187.50,0
UPODS2,2016.10.22,0:1:39,1477094499,647,148,1023,18,40,19,6,0,0,0,0, 38.70,  1.30,38.90,98163.00,3411.94556,1,11831.96437,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2187.50,-750.00,187.50,2421.87,3078.12,5406.25,203.13,218.75,0
UPODS2,2016.10.22,0:1:56,1477094516,647,151,1023,18,40,19,6,0,0,0,0, 38.70,  1.40,38.90,98169.00,3411.94587,1,11831.96428,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2046.88,-1015.63,218.75,2421.87,3078.12,5500.00,171.88,234.38,0
UPODS2,2016.10.22,0:2:13,1477094533,644,151,1022,18,40,18,6,0,0,0,0, 38.60,  1.40,38.90,98155.00,3411.94586,1,11831.96415,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1968.75,-921.88,203.13,2328.12,2937.50,5531.25,187.50,187.50,0
UPODS2,2016.10.22,0:2:30,1477094550,647,151,1019,18,40,18,6,0,0,0,0, 38.50,  1.40,38.80,98156.00,3411.94617,1,11831.96410,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2109.37,-593.75,171.88,2265.62,3062.50,5312.50,218.75,187.50,0
UPODS2,2016.10.22,0:2:47,1477094567,647,151,1023,18,40,18,6,0,0,0,0, 38.50,  1.40,38.80,98161.00,3411.94732,1,11831.96447,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1984.38,-765.63,171.88,2109.37,2968.75,5234.37,203.13,234.38,0
UPODS2,2016.10.22,0:3:4,1477094584,644,150,1022,18,40,18,6,0,0,0,0, 38.40,  1.50,38.70,98161.00,3411.94813,1,11831.96460,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2062.50,-703.13,203.13,2375.00,2968.75,5296.87,171.88,187.50,0
UPODS2,2016.10.22,0:3:21,1477094601,647,149,1021,18,39,18,6,0,0,0,0, 38.30,  1.60,38.70,98153.00,3411.94821,1,11831.96474,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2390.62,-1046.88,187.50,2234.37,3078.12,5281.25,171.88,171.88,0
UPODS2,2016.10.22,0:3:38,1477094618,649,150,1022,18,40,18,6,0,0,0,0, 38.30,  1.70,38.60,98158.00,3411.94780,1,11831.96463,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2015.63,-1218.75,203.13,2109.37,2890.62,5187.50,156.25,187.50,0
UPODS2,2016.10.22,0:3:55,1477094635,644,149,1022,18,40,18,6,0,0,0,0, 38.20,  1.70,38.60,98156.00,3411.94811,1,11831.96460,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1828.13,-1390.63,187.50,2093.75,2953.12,5171.87,156.25,218.75,0
UPODS2,2016.10.22,0:4:12,1477094652,649,148,1023,18,40,18,7,0,0,0,0, 38.10,  1.70,38.50,98162.00,3411.94814,1,11831.96434,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2000.00,-1500.00,203.13,2437.50,3015.62,5140.62,187.50,218.75,0
UPODS2,2016.10.22,0:4:29,1477094669,648,148,1022,18,41,18,6,0,0,0,0, 38.10,  1.70,38.50,98156.00,3411.94891,1,11831.96418,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2062.50,-1140.63,171.88,2343.75,3000.00,5296.87,250.00,218.75,0
UPODS2,2016.10.22,0:4:46,1477094686,648,148,1022,18,40,18,6,0,0,0,0, 38.10,  1.70,38.50,98165.00,3411.94820,1,11831.96409,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1984.38,-1140.63,187.50,2046.88,2562.50,4937.50,187.50,234.38,0
UPODS2,2016.10.22,0:5:3,1477094703,648,150,1023,18,40,18,6,0,0,0,0, 38.00,  1.80,38.40,98156.00,3411.94777,1,11831.96412,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2031.25,-1312.50,171.88,2093.75,2890.62,5156.25,171.88,203.13,0
UPODS2,2016.10.22,0:5:20,1477094720,649,150,1022,18,40,18,6,0,0,0,0, 38.00,  1.70,38.30,98148.00,3411.94796,1,11831.96405,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1953.13,-1078.13,187.50,2109.37,2765.62,5156.25,218.75,250.00,0
UPODS2,2016.10.22,0:5:37,1477094737,646,150,1022,18,39,18,6,0,0,0,0, 38.00,  1.80,38.30,98169.00,3411.94791,1,11831.96383,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1921.88,-1234.38,187.50,1921.88,2781.25,5109.37,171.88,218.75,0
UPODS2,2016.10.22,0:5:54,1477094754,650,151,1023,18,39,18,6,0,0,0,0, 37.90,  1.50,38.30,98155.00,3411.94806,1,11831.96367,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1953.13,-1156.25,234.38,1812.50,2859.37,4937.50,187.50,234.38,0
UPODS2,2016.10.22,0:6:11,1477094771,650,150,1023,18,39,17,6,0,0,0,0, 37.90,  1.50,38.20,98149.00,3411.94749,1,11831.96395,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2171.87,-1406.25,218.75,1843.75,3031.25,4968.75,187.50,187.50,0
UPODS2,2016.10.22,0:6:28,1477094788,648,153,1023,18,40,18,6,0,0,0,0, 37.80,  1.60,38.20,98155.00,3411.94799,1,11831.96432,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2093.75,-1359.38,187.50,1812.50,2687.50,4921.87,171.88,203.13,0
UPODS2,2016.10.22,0:6:45,1477094805,651,150,1023,18,40,18,6,0,0,0,0, 37.80,  1.60,38.10,98155.00,3411.94835,1,11831.96406,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1968.75,-1296.88,218.75,1828.13,2750.00,4984.37,203.13,203.13,0
UPODS2,2016.10.22,0:7:2,1477094822,649,149,1022,18,39,18,6,0,0,0,0, 37.70,  1.60,38.10,98160.00,3411.94797,1,11831.96411,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2062.50,-1375.00,250.00,1671.88,2750.00,4937.50,171.88,234.38,0
UPODS2,2016.10.22,0:7:19,1477094839,649,151,1022,18,39,18,6,0,0,0,0, 37.70,  1.60,38.00,98158.00,3411.94777,1,11831.96411,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1937.50,-1312.50,171.88,1531.25,2718.75,4984.37,187.50,218.75,0
UPODS2,2016.10.22,0:7:36,1477094856,650,150,1022,18,39,18,6,0,0,0,0, 37.70,  1.60,38.00,98153.00,3411.94710,1,11831.96405,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2000.00,-1468.75,171.88,1593.75,2546.87,5031.25,171.88,218.75,0
UPODS2,2016.10.22,0:7:53,1477094873,651,149,1022,18,39,18,6,0,0,0,0, 37.70,  1.60,38.00,98147.00,3411.94716,1,11831.96403,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1921.88,-1343.75,171.88,1734.38,2625.00,4875.00,234.38,265.63,0
UPODS2,2016.10.22,0:8:10,1477094890,646,151,1022,18,39,18,7,0,0,0,0, 37.70,  1.60,37.90,98156.00,3411.94742,1,11831.96405,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1921.88,-1500.00,250.00,1890.63,2671.87,5468.75,171.88,234.38,0
UPODS2,2016.10.22,0:8:27,1477094907,651,150,1022,18,39,18,6,0,0,0,0, 37.70,  1.60,37.90,98156.00,3411.94653,1,11831.96440,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1890.63,-1062.50,187.50,1781.25,2765.62,5031.25,203.13,218.75,0
UPODS2,2016.10.22,0:8:44,1477094924,649,150,1023,18,38,18,6,0,0,0,0, 37.70,  1.60,37.90,98158.00,3411.94631,1,11831.96432,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2000.00,-1296.88,218.75,1671.88,2828.12,4890.62,203.13,218.75,0
UPODS2,2016.10.22,0:9:1,1477094941,650,150,1023,18,38,18,6,0,0,0,0, 37.70,  1.60,37.80,98158.00,3411.94625,1,11831.96428,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1718.75,-1171.88,171.88,1703.13,2796.87,4875.00,203.13,234.38,0
UPODS2,2016.10.22,0:9:18,1477094958,650,150,1022,18,38,18,5,0,0,0,0, 37.60,  1.60,37.80,98153.00,3411.94707,1,11831.96391,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1968.75,-1218.75,187.50,1562.50,2812.50,4937.50,187.50,218.75,0
UPODS2,2016.10.22,0:9:35,1477094975,651,147,1023,18,38,18,5,0,0,0,0, 37.60,  1.50,37.80,98147.00,3411.94778,1,11831.96389,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1953.13,-1359.38,218.75,1640.63,2750.00,4843.75,234.38,203.13,0
UPODS2,2016.10.22,0:9:52,1477094992,651,148,1023,18,38,18,6,0,0,0,0, 37.60,  1.60,37.80,98154.00,3411.94760,1,11831.96397,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1937.50,-1171.88,171.88,2546.87,2515.62,4796.87,265.63,234.38,0
UPODS2,2016.10.22,0:10:9,1477095009,648,150,1023,19,39,18,6,0,0,0,0, 37.70,  1.50,37.70,98145.00,3411.94696,1,11831.96400,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2015.63,-687.50,203.13,5000.00,2750.00,4734.37,203.13,218.75,0
UPODS2,2016.10.22,0:10:26,1477095026,651,148,1022,19,40,19,6,0,0,0,0, 37.70,  1.60,37.70,98145.00,3411.94703,1,11831.96400,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2125.00,-1359.38,234.38,5171.87,2671.87,4859.37,234.38,250.00,0
