Model,YYYY/MM/DD,HH:MM:SS,UnixTime,Baseline,CO2,A0,Fig1,Fig2,e2v03,e2vNO2,e2v1,e2v2,e2v3,e2v4,Temp,Rh,BaroT,BaroP,Lat,N/S,Lon,E/W,C0,C1,C2,C3,C4,C5,C6,C7,Ba1,Ba2,Ba3,Ba4,Bb1,Bb2,Bb3,Bb4,Bc1,Bc2,Bc3,Bc4,Wind
UPODS2,2016.10.20,0:0:25,1476921625,653,146,1022,16,33,24,16,0,0,0,0,-99.50,-99.50,35.90,98587.00,3411.94776,1,11831.96466,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3218.75,-203.13,218.75,5328.12,2734.37,4250.00,203.13,203.13,0
UPODS2,2016.10.20,0:0:41,1476921641,657,145,1023,16,33,24,16,0,0,0,0, 35.50,  3.00,35.90,98590.00,3411.94774,1,11831.96468,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2906.25,-109.37,218.75,5093.75,2640.62,4187.50,203.13,234.38,0
UPODS2,2016.10.20,0:0:57,1476921657,657,145,1022,16,33,24,17,0,0,0,0, 35.50,  3.00,35.80,98590.00,3411.94739,1,11831.96490,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3125.00,-546.88,218.75,5156.25,2781.25,4468.75,203.13,234.38,0
UPODS2,2016.10.20,0:1:13,1476921673,656,146,1022,16,33,24,18,0,0,0,0, 35.50,  3.00,35.80,98596.00,3411.94729,1,11831.96509,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3218.75,-375.00,218.75,5015.62,2562.50,4218.75,171.88,203.13,0
UPODS2,2016.10.20,0:1:29,1476921689,656,145,1023,16,33,24,17,0,0,0,0, 35.50,  3.00,35.80,98590.00,3411.94753,1,11831.96504,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3218.75,-500.00,218.75,5234.37,2734.37,4171.87,203.13,218.75,0
UPODS2,2016.10.20,0:1:45,1476921705,656,147,1022,16,33,24,17,0,0,0,0, 35.40,  3.80,35.80,98587.00,3411.94747,1,11831.96467,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3359.37,-687.50,218.75,5062.50,2750.00,4109.37,250.00,218.75,0
UPODS2,2016.10.20,0:2:1,1476921721,656,146,1022,16,33,24,18,0,0,0,0, 35.40,  3.80,35.80,98596.00,3411.94732,1,11831.96577,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3046.87,-703.13,203.13,5312.50,2703.12,4109.37,234.38,203.13,0
UPODS2,2016.10.20,0:2:17,1476921737,657,145,1022,16,33,24,19,0,0,0,0, 35.40,  3.80,35.70,98593.00,3411.94659,1,11831.96613,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3312.50,-687.50,218.75,6343.75,2562.50,4203.12,187.50,203.13,0
UPODS2,2016.10.20,0:2:33,1476921753,657,147,1022,16,34,25,19,0,0,0,0, 35.40,  3.80,35.70,98581.00,3411.94689,1,11831.96689,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3343.75,-718.75,218.75,6359.37,2734.37,3984.37,234.38,265.63,0
UPODS2,2016.10.20,0:2:49,1476921769,658,148,1022,16,33,25,20,0,0,0,0, 35.40,  3.80,35.70,98590.00,3411.94752,1,11831.96698,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3406.25,-718.75,187.50,5781.25,2703.12,4390.62,234.38,250.00,0
UPODS2,2016.10.20,0:3:5,1476921785,657,146,1022,16,33,25,23,0,0,0,0, 35.40,  3.90,35.70,98587.00,3411.94749,1,11831.96746,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3031.25,-890.63,203.13,5953.12,2750.00,4312.50,203.13,187.50,0
UPODS2,2016.10.20,0:3:21,1476921801,658,146,1023,16,33,25,17,0,0,0,0, 35.40,  3.80,35.70,98584.00,3411.94644,1,11831.96767,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3375.00,-421.88,250.00,5609.37,2671.87,4296.87,187.50,234.38,0
UPODS2,2016.10.20,0:3:37,1476921817,657,146,1022,16,33,24,17,0,0,0,0, 35.40,  3.90,35.60,98581.00,3411.94683,1,11831.96774,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3234.37,-484.38,156.25,5406.25,2625.00,4078.12,187.50,234.38,0
UPODS2,2016.10.20,0:3:53,1476921833,658,146,1023,16,32,24,16,0,0,0,0, 35.30,  3.90,35.60,98584.00,3411.94683,1,11831.96717,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3250.00,-640.63,265.63,5140.62,2562.50,3968.75,234.38,234.38,0
UPODS2,2016.10.20,0:4:9,1476921849,658,146,1023,16,33,24,17,0,0,0,0, 35.30,  4.00,35.60,98591.00,3411.94661,1,11831.96674,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3312.50,-875.00,281.25,5734.37,2640.62,4046.87,218.75,234.38,0
UPODS2,2016.10.20,0:4:25,1476921865,655,146,1023,16,33,24,17,0,0,0,0, 35.20,  4.00,35.50,98588.00,3411.94618,1,11831.96594,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3281.25,-625.00,234.38,5984.37,2640.62,4109.37,218.75,234.38,0
UPODS2,2016.10.20,0:4:41,1476921881,657,143,1022,16,33,24,17,0,0,0,0, 35.20,  4.00,35.50,98579.00,3411.94648,1,11831.96548,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3375.00,-734.38,250.00,5484.37,2671.87,4125.00,265.63,250.00,0
UPODS2,2016.10.20,0:4:57,1476921897,654,145,1022,16,33,24,17,0,0,0,0, 35.20,  3.20,35.50,98594.00,3411.94728,1,11831.96506,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3250.00,-718.75,234.38,5265.62,2718.75,4078.12,250.00,250.00,0
UPODS2,2016.10.20,0:5:14,1476921914,658,147,1022,16,33,24,17,0,0,0,0, 35.30,  3.80,35.50,98591.00,3411.94780,1,11831.96514,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3250.00,-593.75,250.00,5421.87,2640.62,3984.37,218.75,250.00,0
UPODS2,2016.10.20,0:5:30,1476921930,654,145,1023,16,33,24,18,0,0,0,0, 35.30,  3.90,35.50,98579.00,3411.94811,1,11831.96522,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3156.25,-718.75,234.38,5359.37,2593.75,4093.75,234.38,218.75,0
UPODS2,2016.10.20,0:5:47,1476921947,655,146,1021,16,33,24,17,0,0,0,0, 35.30,  3.90,35.50,98582.00,3411.94692,1,11831.96570,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3359.37,-593.75,218.75,5265.62,2640.62,4062.50,218.75,234.38,0
UPODS2,2016.10.20,0:6:4,1476921964,658,148,1022,16,32,24,16,0,0,0,0, 35.30,  3.80,35.50,98585.00,3411.94422,1,11831.96558,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3203.12,-656.25,187.50,5390.62,2750.00,4046.87,187.50,218.75,0
UPODS2,2016.10.20,0:6:21,1476921981,657,146,1023,16,32,24,17,0,0,0,0, 35.20,  3.90,35.40,98591.00,3411.94559,1,11831.96566,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3312.50,-640.63,218.75,5265.62,2656.25,4062.50,218.75,265.63,0
UPODS2,2016.10.20,0:6:38,1476921998,658,144,1023,16,33,24,17,0,0,0,0, 35.20,  3.90,35.40,98600.00,3411.94577,1,11831.96558,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3296.87,-734.38,218.75,5484.37,2671.87,4015.62,218.75,250.00,0
UPODS2,2016.10.20,0:6:55,1476922015,656,146,1023,16,33,24,18,0,0,0,0, 35.20,  3.90,35.40,98591.00,3411.94625,1,11831.96485,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3328.12,-968.75,250.00,5328.12,2671.87,4078.12,218.75,281.25,0
UPODS2,2016.10.20,0:7:12,1476922032,658,146,1023,16,33,24,19,0,0,0,0, 35.30,  3.90,35.40,98594.00,3411.94669,1,11831.96474,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3281.25,-906.25,218.75,5343.75,2765.62,4109.37,234.38,250.00,0
UPODS2,2016.10.20,0:7:29,1476922049,657,145,1022,16,33,24,19,0,0,0,0, 35.30,  3.90,35.40,98600.00,3411.94663,1,11831.96501,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3281.25,-734.38,218.75,5453.12,2687.50,4093.75,203.13,234.38,0
UPODS2,2016.10.20,0:7:46,1476922066,655,146,1022,16,33,24,17,0,0,0,0, 35.40,  3.80,35.40,98603.00,3411.94699,1,11831.96545,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3015.62,-875.00,203.13,5500.00,2656.25,3984.37,265.63,265.63,0
UPODS2,2016.10.20,0:8:3,1476922083,657,147,1022,16,33,24,17,0,0,0,0, 35.40,  3.80,35.40,98579.00,3411.94676,1,11831.96578,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3453.12,-531.25,234.38,5515.62,2796.87,4203.12,234.38,281.25,0
UPODS2,2016.10.20,0:8:20,1476922100,657,145,1023,16,33,24,17,0,0,0,0, 35.40,  3.70,35.40,98588.00,3411.94720,1,11831.96590,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3375.00,-343.75,218.75,5468.75,2734.37,4125.00,187.50,203.13,0
UPODS2,2016.10.20,0:8:37,1476922117,657,145,1023,16,32,24,15,0,0,0,0, 35.40,  3.60,35.40,98579.00,3411.94683,1,11831.96560,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3484.37,-578.13,234.38,5250.00,2687.50,4015.62,250.00,265.63,0
UPODS2,2016.10.20,0:8:54,1476922134,658,145,1021,16,32,24,16,0,0,0,0, 35.40,  3.70,35.40,98579.00,3411.94721,1,11831.96582,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3359.37,-703.13,218.75,5265.62,2625.00,4000.00,203.13,234.38,0
UPODS2,2016.10.20,0:9:11,1476922151,657,143,1022,16,32,24,16,0,0,0,0, 35.40,  3.70,35.40,98594.00,3411.94696,1,11831.96584,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3343.75,-703.13,234.38,5578.12,2671.87,3984.37,218.75,218.75,0
UPODS2,2016.10.20,0:9:28,1476922168,659,145,1022,16,32,24,15,0,0,0,0, 35.40,  3.60,35.30,98579.00,3411.94739,1,11831.96566,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3359.37,-578.13,218.75,5531.25,2687.50,4078.12,203.13,265.63,0
UPODS2,2016.10.20,0:9:45,1476922185,658,144,1022,16,32,24,15,0,0,0,0, 35.40,  3.70,35.30,98585.00,3411.94672,1,11831.96552,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3406.25,-593.75,203.13,5328.12,2578.12,4062.50,234.38,250.00,0
UPODS2,2016.10.20,0:10:2,1476922202,657,148,1023,16,32,24,15,0,0,0,0, 35.50,  3.50,35.40,98582.00,3411.94616,1,11831.96546,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3296.87,-656.25,218.75,5375.00,2750.00,4375.00,265.63,265.63,0
