Model,YYYY/MM/DD,HH:MM:SS,UnixTime,Baseline,CO2,A0,Fig1,Fig2,e2v03,e2vNO2,e2v1,e2v2,e2v3,e2v4,Temp,Rh,BaroT,BaroP,Lat,N/S,Lon,E/W,C0,C1,C2,C3,C4,C5,C6,C7,Ba1,Ba2,Ba3,Ba4,Bb1,Bb2,Bb3,Bb4,Bc1,Bc2,Bc3,Bc4,Wind
UPODS1,2016.10.26,0:0:28,1477440028,263,179,199,51,36,62,61,0,0,0,0, 34.90, 17.80,33.70,98780.00,3411.94630,1,11831.96788,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2609.37,-3875.00,-16187.50,10343.75,1531.25,1765.63,203.13,-375.00,0
UPODS1,2016.10.26,0:0:45,1477440045,262,177,196,51,36,62,59,0,0,0,0, 34.80, 17.80,33.70,98774.00,3411.94624,1,11831.96790,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2609.37,-3875.00,-16187.50,10093.75,1546.88,1734.38,187.50,-250.00,0
UPODS1,2016.10.26,0:1:2,1477440062,263,176,194,51,36,62,59,0,0,0,0, 34.80, 17.80,33.60,98761.00,3411.94495,1,11831.96818,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2546.87,-3875.00,-16156.25,10234.37,1562.50,1796.88,187.50,-265.63,0
UPODS1,2016.10.26,0:1:19,1477440079,263,178,197,51,36,62,60,0,0,0,0, 34.80, 17.80,33.60,98768.00,3411.94357,1,11831.96830,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2656.25,-3843.75,-15937.50,10328.12,1453.13,1750.00,250.00,-281.25,0
UPODS1,2016.10.26,0:1:36,1477440096,263,177,195,51,36,62,60,0,0,0,0, 34.90, 17.80,33.60,98777.00,3411.94406,1,11831.96796,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2671.87,-3875.00,-15921.87,10312.50,1593.75,1781.25,312.50,-390.63,0
UPODS1,2016.10.26,0:1:53,1477440113,263,178,196,51,36,62,59,0,0,0,0, 34.80, 17.90,33.60,98774.00,3411.94267,1,11831.96821,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2640.62,-3937.50,-15812.50,10218.75,1734.38,1765.63,187.50,-421.88,0
UPODS1,2016.10.26,0:2:10,1477440130,263,178,196,51,36,62,58,0,0,0,0, 34.80, 17.90,33.60,98774.00,3411.94308,1,11831.96793,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2578.12,-3875.00,-15828.12,10031.25,1484.38,1421.88,203.13,-359.38,0
UPODS1,2016.10.26,0:2:27,1477440147,263,177,195,51,36,62,57,0,0,0,0, 34.80, 17.90,33.60,98777.00,3411.94361,1,11831.96791,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2546.87,-3906.25,-15796.87,9796.87,1531.25,1687.50,234.38,-390.63,0
UPODS1,2016.10.26,0:2:44,1477440164,263,179,197,51,36,61,57,0,0,0,0, 34.80, 17.90,33.60,98768.00,3411.94387,1,11831.96783,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2578.12,-3859.37,-15937.50,9687.50,1437.50,1640.63,250.00,-296.88,0
UPODS1,2016.10.26,0:3:1,1477440181,263,178,197,51,36,61,58,0,0,0,0, 34.80, 17.30,33.60,98774.00,3411.94465,1,11831.96774,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2531.25,-3890.62,-15968.75,9640.62,1531.25,1765.63,359.38,-296.88,0
