Model,YYYY/MM/DD,HH:MM:SS,UnixTime,Baseline,CO2,A0,Fig1,Fig2,e2v03,e2vNO2,e2v1,e2v2,e2v3,e2v4,Temp,Rh,BaroT,BaroP,Lat,N/S,Lon,E/W,C0,C1,C2,C3,C4,C5,C6,C7,Ba1,Ba2,Ba3,Ba4,Bb1,Bb2,Bb3,Bb4,Bc1,Bc2,Bc3,Bc4,Wind
UPODS1,2016.10.21,0:0:28,1477008028,234,177,185,29,37,38,43,0,0,0,0,-99.50,-99.50,39.60,98413.00,3411.94518,1,11831.96543,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2953.12,-687.50,-9453.12,9531.25,3015.62,4890.62,250.00,250.00,0
UPODS1,2016.10.21,0:0:45,1477008045,235,177,184,29,37,38,43,0,0,0,0, 40.80,  1.00,39.50,98419.00,3411.94518,1,11831.96544,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2984.37,-609.38,-9296.87,9734.37,3171.87,4984.37,218.75,218.75,0
UPODS1,2016.10.21,0:1:2,1477008062,235,177,185,29,37,38,43,0,0,0,0, 40.70,  1.00,39.50,98416.00,3411.94552,1,11831.96604,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2953.12,-593.75,-9312.50,9625.00,3109.37,4765.62,234.38,171.88,0
UPODS1,2016.10.21,0:1:19,1477008079,235,175,185,29,37,38,43,0,0,0,0, 40.70,  1.00,39.50,98416.00,3411.94563,1,11831.96587,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2921.87,-718.75,-9359.37,9640.62,3062.50,4796.87,281.25,187.50,0
UPODS1,2016.10.21,0:1:36,1477008096,235,175,184,29,37,38,43,0,0,0,0, 40.70,  1.00,39.50,98410.00,3411.94593,1,11831.96575,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2843.75,-609.38,-9296.87,9453.12,3000.00,4734.37,296.88,343.75,0
UPODS1,2016.10.21,0:1:53,1477008113,235,176,185,29,37,38,45,0,0,0,0, 40.70,  1.00,39.50,98416.00,3411.94665,1,11831.96557,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3015.62,-671.88,-9187.50,9546.87,3015.62,4921.87,171.88,187.50,0
UPODS1,2016.10.21,0:2:10,1477008130,235,177,184,29,37,38,45,0,0,0,0, 40.70,  1.00,39.50,98407.00,3411.94724,1,11831.96551,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2890.62,-687.50,-9187.50,9671.87,2984.37,4859.37,156.25,218.75,0
UPODS1,2016.10.21,0:2:28,1477008148,236,176,183,29,37,38,44,0,0,0,0, 40.70,  1.00,39.40,98410.00,3411.94730,1,11831.96521,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2875.00,-562.50,-9250.00,9515.62,3031.25,4859.37,234.38,171.88,0
UPODS1,2016.10.21,0:2:46,1477008166,235,176,185,29,37,38,42,0,0,0,0, 40.60,  1.00,39.40,98407.00,3411.94724,1,11831.96473,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2906.25,-718.75,-9187.50,9328.12,2921.87,4718.75,218.75,218.75,0
UPODS1,2016.10.21,0:3:4,1477008184,235,178,184,29,37,38,40,0,0,0,0, 40.60,  1.00,39.40,98413.00,3411.94757,1,11831.96498,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2890.62,-609.38,-9218.75,9468.75,2953.12,4750.00,187.50,156.25,0
UPODS1,2016.10.21,0:3:22,1477008202,236,176,184,29,37,37,38,0,0,0,0, 40.60,  1.00,39.40,98419.00,3411.94778,1,11831.96503,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2953.12,-625.00,-9343.75,9218.75,2828.12,4812.50,125.00,140.63,0
UPODS1,2016.10.21,0:3:40,1477008220,234,176,186,29,37,37,38,0,0,0,0, 40.60,  1.00,39.40,98426.00,3411.94824,1,11831.96449,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2859.37,-593.75,-9328.12,9046.87,2984.37,4015.62,203.13,78.12,0
UPODS1,2016.10.21,0:3:58,1477008238,236,178,184,29,37,37,37,0,0,0,0, 40.50,  1.00,39.40,98416.00,3411.94887,1,11831.96368,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2937.50,-656.25,-9375.00,9125.00,3031.25,4531.25,296.88,187.50,0
UPODS1,2016.10.21,0:4:16,1477008256,235,176,185,29,37,37,36,0,0,0,0, 40.50,  1.00,39.30,98407.00,3411.94930,1,11831.96352,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2906.25,-578.13,-9265.62,9015.62,2984.37,4703.12,187.50,203.13,0
UPODS1,2016.10.21,0:4:33,1477008273,236,175,184,29,37,37,37,0,0,0,0, 40.50,  1.00,39.30,98423.00,3411.95022,1,11831.96342,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2859.37,-796.88,-9218.75,9203.12,2968.75,4734.37,265.63,218.75,0
UPODS1,2016.10.21,0:4:51,1477008291,237,178,186,29,37,37,39,0,0,0,0, 40.50,  1.00,39.30,98414.00,3411.94961,1,11831.96381,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2859.37,-765.63,-9312.50,9812.50,3046.87,4765.62,234.38,203.13,0
UPODS1,2016.10.21,0:5:9,1477008309,236,175,185,29,37,37,40,0,0,0,0, 40.50,  1.00,39.30,98411.00,3411.95072,1,11831.96414,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2890.62,-781.25,-9203.12,10156.25,3000.00,4906.25,171.88,234.38,0
UPODS1,2016.10.21,0:5:27,1477008327,235,176,187,29,37,37,41,0,0,0,0, 40.50,  1.00,39.30,98407.00,3411.94989,1,11831.96482,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2921.87,-750.00,-9234.37,10390.62,2843.75,4656.25,250.00,359.38,0
UPODS1,2016.10.21,0:5:45,1477008345,236,174,185,29,37,37,42,0,0,0,0, 40.40,  1.00,39.30,98414.00,3411.94957,1,11831.96537,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2843.75,-812.50,-9250.00,10468.75,3046.87,4656.25,140.63,250.00,0
UPODS1,2016.10.21,0:6:3,1477008363,237,173,185,29,37,37,43,0,0,0,0, 40.40,  1.00,39.20,98417.00,3411.95017,1,11831.96605,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2906.25,-875.00,-9265.62,10656.25,2984.37,4640.62,250.00,187.50,0
UPODS1,2016.10.21,0:6:20,1477008380,237,177,185,29,37,37,44,0,0,0,0, 40.40,  1.00,39.20,98401.00,3411.95047,1,11831.96588,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3000.00,-843.75,-9421.87,10812.50,2953.12,4484.37,250.00,265.63,0
UPODS1,2016.10.21,0:6:38,1477008398,237,177,184,29,37,38,46,0,0,0,0, 40.40,  1.00,39.20,98414.00,3411.95020,1,11831.96596,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2843.75,-1015.63,-9359.37,11125.00,3218.75,4671.87,171.88,250.00,0
UPODS1,2016.10.21,0:6:56,1477008416,236,176,185,29,37,38,48,0,0,0,0, 40.40,  1.00,39.20,98414.00,3411.94960,1,11831.96586,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2875.00,-984.38,-9718.75,11312.50,2875.00,4640.62,218.75,203.13,0
UPODS1,2016.10.21,0:7:14,1477008434,236,177,186,29,37,38,49,0,0,0,0, 40.40,  1.00,39.20,98405.00,3411.95098,1,11831.96590,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2937.50,-890.63,-9562.50,11671.87,3375.00,4531.25,265.63,203.13,0
UPODS1,2016.10.21,0:7:32,1477008452,236,175,184,29,38,38,53,0,0,0,0, 40.40,  1.00,39.20,98408.00,3411.95222,1,11831.96521,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2812.50,-750.00,-9593.75,12000.00,2984.37,4125.00,234.38,218.75,0
UPODS1,2016.10.21,0:7:50,1477008470,237,176,184,30,38,39,52,0,0,0,0, 40.40,  1.00,39.20,98417.00,3411.95105,1,11831.96457,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3078.12,-640.63,-9781.25,12171.87,3062.50,4671.87,218.75,171.88,0
UPODS1,2016.10.21,0:8:8,1477008488,236,174,185,30,38,39,52,0,0,0,0, 40.40,  1.00,39.20,98417.00,3411.95004,1,11831.96448,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2906.25,-734.38,-9750.00,12015.62,3281.25,4843.75,156.25,250.00,0
UPODS1,2016.10.21,0:8:25,1477008505,237,175,186,30,38,39,49,0,0,0,0, 40.30,  1.00,39.20,98411.00,3411.94944,1,11831.96470,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2890.62,-687.50,-9625.00,11562.50,3218.75,4796.87,171.88,140.63,0
UPODS1,2016.10.21,0:8:43,1477008523,237,177,186,29,38,39,47,0,0,0,0, 40.30,  1.00,39.20,98408.00,3411.94926,1,11831.96467,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2984.37,-671.88,-9781.25,11000.00,3000.00,5046.87,171.88,281.25,0
UPODS1,2016.10.21,0:9:1,1477008541,237,178,185,29,37,38,43,0,0,0,0, 40.30,  1.00,39.20,98414.00,3411.95014,1,11831.96498,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2968.75,-656.25,-9843.75,10265.62,3000.00,4765.62,171.88,156.25,0
UPODS1,2016.10.21,0:9:19,1477008559,237,175,186,29,37,38,42,0,0,0,0, 40.30,  1.00,39.20,98411.00,3411.94931,1,11831.96560,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3015.62,-812.50,-9968.75,9921.87,2984.37,4609.37,265.63,171.88,0
UPODS1,2016.10.21,0:9:37,1477008577,237,175,185,29,37,38,42,0,0,0,0, 40.30,  1.00,39.10,98417.00,3411.94843,1,11831.96512,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2937.50,-812.50,-10046.87,9781.25,3609.37,4796.87,187.50,296.88,0
UPODS1,2016.10.21,0:9:55,1477008595,237,177,185,29,37,38,44,0,0,0,0, 40.30,  1.00,39.10,98420.00,3411.94741,1,11831.96511,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2921.87,-843.75,-9906.25,10015.62,2953.12,5125.00,156.25,93.75,0
UPODS1,2016.10.21,0:10:13,1477008613,237,177,184,29,37,38,44,0,0,0,0, 40.30,  1.00,39.10,98414.00,3411.94747,1,11831.96542,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2937.50,-781.25,-9750.00,9953.12,3031.25,4625.00,218.75,281.25,0
