Model,YYYY/MM/DD,HH:MM:SS,UnixTime,Baseline,CO2,A0,Fig1,Fig2,e2v03,e2vNO2,e2v1,e2v2,e2v3,e2v4,Temp,Rh,BaroT,BaroP,Lat,N/S,Lon,E/W,C0,C1,C2,C3,C4,C5,C6,C7,Ba1,Ba2,Ba3,Ba4,Bb1,Bb2,Bb3,Bb4,Bc1,Bc2,Bc3,Bc4,Wind
UPODS2,2016.10.21,0:0:31,1477008031,648,149,1023,16,38,24,13,0,0,0,0, 38.40,  1.00,38.60,98434.00,3411.94752,1,11831.96554,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2656.25,562.50,234.38,3843.75,2890.62,4671.87,218.75,234.38,0
UPODS2,2016.10.21,0:0:47,1477008047,650,148,1022,16,38,24,13,0,0,0,0, 38.40,  1.00,38.50,98428.00,3411.94752,1,11831.96553,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2656.25,312.50,203.13,3750.00,2921.87,4750.00,171.88,187.50,0
UPODS2,2016.10.21,0:1:3,1477008063,648,150,1023,16,37,24,12,0,0,0,0, 38.40,  1.00,38.50,98428.00,3411.94742,1,11831.96545,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2609.37,359.38,203.13,3687.50,2843.75,4625.00,156.25,218.75,0
UPODS2,2016.10.21,0:1:19,1477008079,645,147,1022,16,37,24,12,0,0,0,0, 38.40,  1.00,38.50,98434.00,3411.94754,1,11831.96551,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2625.00,78.12,218.75,3562.50,2906.25,4687.50,187.50,187.50,0
UPODS2,2016.10.21,0:1:35,1477008095,649,150,1022,16,37,24,12,0,0,0,0, 38.40,  1.00,38.50,98438.00,3411.94704,1,11831.96565,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2703.12,281.25,203.13,3468.75,2828.12,4593.75,234.38,250.00,0
UPODS2,2016.10.21,0:1:52,1477008112,649,148,1021,16,37,24,13,0,0,0,0, 38.30,  1.00,38.50,98438.00,3411.94668,1,11831.96548,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2468.75,-46.88,218.75,3531.25,2828.12,4343.75,187.50,203.13,0
UPODS2,2016.10.21,0:2:8,1477008128,645,147,1022,16,37,24,13,0,0,0,0, 38.30,  1.10,38.40,98426.00,3411.94625,1,11831.96558,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2437.50,-62.50,203.13,3515.62,2765.62,4703.12,250.00,250.00,0
UPODS2,2016.10.21,0:2:24,1477008144,648,149,1022,16,37,24,12,0,0,0,0, 38.30,  1.00,38.40,98441.00,3411.94663,1,11831.96581,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2593.75,187.50,218.75,3343.75,2828.12,4671.87,203.13,250.00,0
UPODS2,2016.10.21,0:2:40,1477008160,648,148,1022,16,37,24,11,0,0,0,0, 38.20,  1.00,38.40,98432.00,3411.94681,1,11831.96569,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2656.25,343.75,234.38,3375.00,2828.12,4375.00,187.50,250.00,0
UPODS2,2016.10.21,0:2:56,1477008176,649,148,1022,16,37,24,12,0,0,0,0, 38.20,  1.00,38.40,98450.00,3411.94691,1,11831.96571,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2500.00,328.13,187.50,3375.00,2953.12,4609.37,171.88,203.13,0
UPODS2,2016.10.21,0:3:13,1477008193,649,149,1023,16,37,24,11,0,0,0,0, 38.10,  1.00,38.20,98435.00,3411.94666,1,11831.96571,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2562.50,453.13,218.75,3281.25,2765.62,4500.00,203.13,281.25,0
UPODS2,2016.10.21,0:3:30,1477008210,647,151,1023,16,37,24,11,0,0,0,0, 38.00,  1.10,38.20,98438.00,3411.94687,1,11831.96590,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2640.62,265.63,203.13,3062.50,2843.75,4484.37,187.50,234.38,0
UPODS2,2016.10.21,0:3:47,1477008227,645,149,1022,16,37,24,11,0,0,0,0, 38.00,  1.10,38.20,98432.00,3411.94691,1,11831.96577,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2500.00,156.25,218.75,3156.25,2625.00,4484.37,250.00,234.38,0
UPODS2,2016.10.21,0:4:4,1477008244,649,149,1021,16,37,24,11,0,0,0,0, 37.90,  1.00,38.20,98429.00,3411.94628,1,11831.96584,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2500.00,62.50,203.13,3093.75,2718.75,4312.50,234.38,187.50,0
UPODS2,2016.10.21,0:4:21,1477008261,648,147,1023,16,37,23,11,0,0,0,0, 37.90,  1.00,38.10,98433.00,3411.94588,1,11831.96577,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2578.12,62.50,171.88,2937.50,2734.37,4640.62,218.75,250.00,0
