Model,YYYY/MM/DD,HH:MM:SS,UnixTime,Baseline,CO2,A0,Fig1,Fig2,e2v03,e2vNO2,e2v1,e2v2,e2v3,e2v4,Temp,Rh,BaroT,BaroP,Lat,N/S,Lon,E/W,C0,C1,C2,C3,C4,C5,C6,C7,Ba1,Ba2,Ba3,Ba4,Bb1,Bb2,Bb3,Bb4,Bc1,Bc2,Bc3,Bc4,Wind
UPODS1,2016.10.23,0:0:23,1477180823,265,176,195,40,31,37,16,0,0,0,0, 34.60,  7.20,33.50,98278.00,3411.94822,1,11831.96458,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1562.50,-2109.37,-13578.12,6562.50,1531.25,2593.75,234.38,-375.00,0
UPODS1,2016.10.23,0:0:40,1477180840,265,175,196,40,31,37,16,0,0,0,0, 34.60,  7.20,33.50,98273.00,3411.94826,1,11831.96454,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1562.50,-2078.12,-13578.12,6562.50,1484.38,2265.62,187.50,-453.13,0
UPODS1,2016.10.23,0:0:57,1477180857,265,176,195,40,31,37,16,0,0,0,0, 34.70,  7.20,33.50,98273.00,3411.95082,1,11831.96475,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1531.25,-2078.12,-13609.37,6750.00,1406.25,2250.00,234.38,-515.63,0
UPODS1,2016.10.23,0:1:14,1477180874,263,175,195,40,31,37,15,0,0,0,0, 34.60,  7.20,33.40,98278.00,3411.94624,1,11831.96592,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1500.00,-2171.87,-13656.25,6593.75,1515.63,2218.75,328.13,-500.00,0
UPODS1,2016.10.23,0:1:31,1477180891,266,175,195,40,31,37,14,0,0,0,0, 34.60,  7.20,33.40,98273.00,3411.94668,1,11831.96619,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1406.25,-2187.50,-13625.00,6437.50,1515.63,2000.00,250.00,-640.63,0
UPODS1,2016.10.23,0:1:48,1477180908,264,174,195,39,31,37,14,0,0,0,0, 34.60,  7.30,33.40,98270.00,3411.94823,1,11831.96547,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1484.38,-2187.50,-13578.12,6312.50,1703.13,2296.87,140.63,-562.50,0
UPODS1,2016.10.23,0:2:6,1477180926,266,173,195,39,31,37,14,0,0,0,0, 34.50,  7.30,33.40,98273.00,3411.94888,1,11831.96432,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1500.00,-2203.12,-13578.12,6453.12,1546.88,2218.75,265.63,-546.88,0
UPODS1,2016.10.23,0:2:24,1477180944,265,175,197,39,30,37,14,0,0,0,0, 34.50,  7.30,33.40,98273.00,3411.94707,1,11831.96407,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1500.00,-2250.00,-13562.50,6468.75,1468.75,2187.50,203.13,-484.38,0
UPODS1,2016.10.23,0:2:42,1477180962,265,176,196,39,30,37,13,0,0,0,0, 34.50,  7.30,33.30,98282.00,3411.94764,1,11831.96358,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1500.00,-2203.12,-13468.75,6296.87,1515.63,2218.75,218.75,-625.00,0
UPODS1,2016.10.23,0:2:59,1477180979,266,176,195,39,30,37,13,0,0,0,0, 34.50,  7.40,33.30,98268.00,3411.94603,1,11831.96479,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1562.50,-2265.62,-13500.00,6296.87,1421.88,2093.75,296.88,-640.63,0
UPODS1,2016.10.23,0:3:16,1477180996,265,176,196,39,30,37,13,0,0,0,0, 34.50,  7.40,33.30,98274.00,3411.94689,1,11831.96521,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1453.13,-2296.87,-13296.87,7187.50,1421.88,2312.50,218.75,-453.13,0
