Model,YYYY/MM/DD,HH:MM:SS,UnixTime,Baseline,CO2,A0,Fig1,Fig2,e2v03,e2vNO2,e2v1,e2v2,e2v3,e2v4,Temp,Rh,BaroT,BaroP,Lat,N/S,Lon,E/W,C0,C1,C2,C3,C4,C5,C6,C7,Ba1,Ba2,Ba3,Ba4,Bb1,Bb2,Bb3,Bb4,Bc1,Bc2,Bc3,Bc4,Wind
UPODS1,2016.10.27,0:0:30,1477526430,255,177,194,51,37,59,67,0,0,0,0,-99.50,-99.50,35.50,98574.00,3411.94477,1,11831.96663,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2000.00,-2234.37,-12828.12,13312.50,1859.38,2703.12,187.50,-437.50,0
UPODS1,2016.10.27,0:0:47,1477526447,255,177,194,51,37,59,70,0,0,0,0, 36.70, 14.50,35.50,98574.00,3411.94477,1,11831.96663,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2031.25,-2171.87,-12796.87,13546.87,1843.75,2671.87,203.13,-593.75,0
UPODS1,2016.10.27,0:1:4,1477526464,255,176,193,51,37,59,65,0,0,0,0, 36.70, 15.00,35.50,98577.00,3411.94540,1,11831.96651,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2015.63,-2093.75,-12968.75,13343.75,1812.50,2734.37,265.63,-390.63,0
UPODS1,2016.10.27,0:1:21,1477526481,254,179,194,51,37,59,62,0,0,0,0, 36.70, 15.00,35.60,98577.00,3411.94544,1,11831.96668,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2046.88,-2109.37,-13156.25,13109.37,1890.63,2703.12,281.25,-437.50,0
UPODS1,2016.10.27,0:1:38,1477526498,255,179,193,51,37,59,60,0,0,0,0, 36.70, 15.00,35.60,98577.00,3411.94625,1,11831.96669,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2109.37,-2187.50,-13078.12,13078.12,1937.50,2750.00,281.25,-500.00,0
UPODS1,2016.10.27,0:1:55,1477526515,255,177,193,51,37,59,60,0,0,0,0, 36.70, 15.00,35.60,98583.00,3411.94598,1,11831.96658,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2093.75,-2093.75,-13109.37,12937.50,1843.75,2656.25,250.00,-437.50,0
UPODS1,2016.10.27,0:2:12,1477526532,255,177,192,51,37,59,60,0,0,0,0, 36.70, 14.40,35.60,98574.00,3411.94619,1,11831.96665,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2062.50,-2015.63,-13140.62,12843.75,1687.50,2640.62,140.63,-390.63,0
UPODS1,2016.10.27,0:2:30,1477526550,254,178,194,51,37,59,57,0,0,0,0, 36.80, 15.00,35.60,98577.00,3411.94626,1,11831.96632,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2031.25,-1937.50,-13250.00,12703.12,1859.38,2968.75,281.25,-390.63,0
UPODS1,2016.10.27,0:2:48,1477526568,254,178,192,51,37,59,54,0,0,0,0, 36.70, 14.90,35.60,98574.00,3411.94590,1,11831.96626,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2109.37,-1953.13,-13312.50,12296.87,1890.63,2812.50,265.63,-468.75,0
UPODS1,2016.10.27,0:3:5,1477526585,255,177,193,51,37,59,52,0,0,0,0, 36.80, 14.90,35.60,98571.00,3411.94601,1,11831.96606,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2125.00,-1968.75,-13421.87,12281.25,2015.63,3078.12,203.13,-515.63,0
UPODS1,2016.10.27,0:3:23,1477526603,255,176,192,51,37,59,52,0,0,0,0, 36.80, 14.90,35.60,98571.00,3411.94623,1,11831.96613,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2078.12,-2015.63,-13343.75,12468.75,2187.50,2703.12,312.50,-531.25,0
UPODS1,2016.10.27,0:3:42,1477526622,254,176,193,51,37,59,56,0,0,0,0, 36.80, 14.90,35.60,98571.00,3411.94619,1,11831.96600,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2093.75,-2000.00,-13187.50,13265.62,1875.00,2656.25,296.88,-359.38,0
UPODS1,2016.10.27,0:4:0,1477526640,254,178,194,51,37,59,56,0,0,0,0, 36.80, 14.90,35.60,98574.00,3411.94630,1,11831.96592,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2078.12,-1968.75,-13046.87,13468.75,1890.63,2828.12,203.13,-390.63,0
UPODS1,2016.10.27,0:4:18,1477526658,254,179,193,51,37,59,54,0,0,0,0, 36.80, 14.90,35.60,98574.00,3411.94614,1,11831.96588,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2031.25,-1921.88,-13140.62,13359.37,1937.50,2984.37,187.50,-578.13,0
UPODS1,2016.10.27,0:4:36,1477526676,255,177,193,51,37,59,51,0,0,0,0, 36.80, 14.90,35.60,98574.00,3411.94586,1,11831.96582,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1953.13,-1906.25,-12953.12,13218.75,1890.63,2890.62,203.13,-515.63,0
UPODS1,2016.10.27,0:4:53,1477526693,254,180,193,51,37,58,48,0,0,0,0, 36.80, 14.80,35.60,98577.00,3411.94598,1,11831.96598,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2046.88,-1843.75,-12921.87,12921.87,1796.88,2703.12,234.38,-359.38,0
UPODS1,2016.10.27,0:5:12,1477526712,253,179,194,51,37,58,47,0,0,0,0, 36.80, 14.80,35.60,98568.00,3411.94576,1,11831.96605,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1937.50,-1859.38,-12843.75,12890.62,1984.38,2906.25,171.88,-453.13,0
UPODS1,2016.10.27,0:5:30,1477526730,255,177,193,51,37,58,48,0,0,0,0, 36.80, 14.90,35.60,98571.00,3411.94594,1,11831.96600,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1937.50,-1875.00,-12781.25,12781.25,1921.88,2796.87,250.00,-468.75,0
